Group 1,Group 2,H,p-value,q-value
Control (n=3),RP-10 (n=3),3.857142857142854,0.049534613435626915,0.24767306717813456
Control (n=3),RP-20 (n=3),0.42857142857142705,0.5126907602619241,0.640863450327405
Control (n=3),RP-40 (n=3),3.857142857142854,0.049534613435626915,0.24767306717813456
Control (n=3),RP-5 (n=3),0.42857142857142705,0.5126907602619241,0.640863450327405
RP-10 (n=3),RP-20 (n=3),2.3333333333333286,0.1266304579476181,0.42210152649206034
RP-10 (n=3),RP-40 (n=3),0.04761904761904745,0.8272593465627116,0.8272593465627116
RP-10 (n=3),RP-5 (n=3),0.42857142857142705,0.5126907602619241,0.640863450327405
RP-20 (n=3),RP-40 (n=3),1.1904761904761898,0.27523352407483126,0.640863450327405
RP-20 (n=3),RP-5 (n=3),0.04761904761904745,0.8272593465627116,0.8272593465627116
RP-40 (n=3),RP-5 (n=3),0.42857142857142705,0.5126907602619241,0.640863450327405
