"Metadata","Phylum","Avg_Correlation","Min_P_value"
"Final weight","Acidobacteriota",-0.593927939615809,0.0195687601390691
"Final weight","Actinobacteriota",0.588202955969527,0.0210884709753865
"Final weight","Bacteroidota",0.0318357269983507,0.0194814883362406
"Final weight","Bdellovibrionota",0.588202955969527,0.0210884709753865
"Final weight","Chloroflexi",0.14926555151773,0.0210884709753865
"Final weight","Cloacimonadota",-0.515435579973296,0.0492428418216662
"Final weight","Cyanobacteria",-0.594266903969212,0.0194814883362406
"Final weight","Desulfobacterota",-0.59123492996937,0.0194814883362406
"Final weight","Elusimicrobiota",-0.594266903969212,0.0194814883362406
"Final weight","Firmicutes",-0.00898498491889114,0.000808067605528873
"Final weight","Patescibacteria",-0.544744661971778,0.0210884709753865
"Final weight","Planctomycetota",-0.588202955969527,0.0210884709753865
"Final weight","Proteobacteria",0.195056993989895,0.0210884709753865
"Specific growth rate","Actinobacteriota",0.550333818750941,0.0215242612422428
"Specific growth rate","Bacteroidota",0.0317500317500476,0.0198959726987491
"Specific growth rate","Bdellovibrionota",0.586619634238975,0.0215242612422428
"Specific growth rate","Chloroflexi",0.171028349786097,0.0215242612422428
"Specific growth rate","Cloacimonadota",-0.514048133096009,0.0499631173441153
"Specific growth rate","Cyanobacteria",-0.592667259334222,0.0198959726987491
"Specific growth rate","Desulfobacterota",-0.589643446786599,0.0198959726987491
"Specific growth rate","Elusimicrobiota",-0.592667259334222,0.0198959726987491
"Specific growth rate","Firmicutes",-0.0905535764713011,0.0024731521138821
"Specific growth rate","Patescibacteria",-0.54327832105637,0.0215242612422428
"Specific growth rate","Planctomycetota",-0.586619634238975,0.0215242612422428
"Specific growth rate","Proteobacteria",0.246768422258667,0.0215242612422428
"Feed conversion ratio","Actinobacteriota",0,0.0339088826989764
"Feed conversion ratio","Bacteroidota",0.537276633363128,0.0388853141534864
"Feed conversion ratio","Chloroflexi",0,0.0218166015952796
"Feed conversion ratio","Deinococcota",0.591607978309962,0.0201741354789882
"Feed conversion ratio","Firmicutes",-0.58858957025736,0.0201741354789882
"Feed conversion ratio","Gemmatimonadota",-0.549350265573536,0.0339088826989764
"Feed conversion ratio","Patescibacteria",-0.585571162204758,0.0218166015952796
"Feed conversion ratio","Proteobacteria",-0.303574758379207,0.00790366204672122
"Weight gain","Acidobacteriota",-0.557891462786871,0.030688419683973
"Weight gain","Actinobacteriota",0.586619634238975,0.0215242612422428
"Weight gain","Bacteroidota",0.0317500317500476,0.0198959726987491
"Weight gain","Bdellovibrionota",0.586619634238975,0.0215242612422428
"Weight gain","Chloroflexi",0.148863759263981,0.0215242612422428
"Weight gain","Cloacimonadota",-0.514048133096009,0.0499631173441153
"Weight gain","Cyanobacteria",-0.592667259334222,0.0198959726987491
"Weight gain","Desulfobacterota",-0.589643446786599,0.0198959726987491
"Weight gain","Elusimicrobiota",-0.592667259334222,0.0198959726987491
"Weight gain","Firmicutes",-0.00896079918210361,0.000851641913337087
"Weight gain","Patescibacteria",-0.54327832105637,0.0215242612422428
"Weight gain","Planctomycetota",-0.586619634238975,0.0215242612422428
"Weight gain","Proteobacteria",0.194531940563784,0.0215242612422428
"Survival rate","Acidobacteriota",-0.563503799599358,0.0041314815775304
"Survival rate","Actinobacteriota",-0.559507286905992,0.0221149307761448
"Survival rate","Armatimonadota",-0.559016994374947,0.0302818727265981
"Survival rate","Bacteroidota",-0.562100291019699,0.0041314815775304
"Survival rate","Bdellovibrionota",-0.559016994374947,0.0302818727265981
"Survival rate","Chloroflexi",-0.559016994374947,0.0302818727265981
"Survival rate","Cloacimonadota",-0.571764600182106,0.0221149307761448
"Survival rate","Cyanobacteria",-0.559016994374947,0.0302818727265981
"Survival rate","Deferribacterota",-0.559016994374947,0.0302818727265981
